"","datetime","temp","var","site_id","variable","observation"
"1",2022-01-03 00:30:00,-1.4709,0.0093,"HARV","nee",0.631820302169628
"2",2022-01-03 01:00:00,-1.7666,0.0081,"HARV","nee",1.1864335686749
"3",2022-01-03 02:30:00,-2.6334,0.0058,"HARV","nee",0.326498049635336
"4",2022-01-03 03:00:00,-2.9392,0.0087,"HARV","nee",0.767283426790071
"5",2022-01-03 04:30:00,-3.743,0.0032,"HARV","nee",0.713568422003542
"6",2022-01-03 05:00:00,-3.9907,0.0047,"HARV","nee",0.59685141444063
"7",2022-01-03 05:30:00,-4.2114,0.0031,"HARV","nee",0.979411967391018
"8",2022-01-03 06:00:00,-4.4271,0.0039,"HARV","nee",0.408445902231483
"9",2022-01-03 07:30:00,-4.9471,0.0043,"HARV","nee",0.391467625150549
"10",2022-01-03 08:00:00,-5.1761,0.0079,"HARV","nee",0.289975806507043
"11",2022-01-03 08:30:00,-5.4564,0.0053,"HARV","nee",0.561991728272803
"12",2022-01-03 09:00:00,-5.6833,0.0056,"HARV","nee",0.331864386419211
"13",2022-01-03 09:30:00,-5.9417,0.0083,"HARV","nee",1.20083269740913
"14",2022-01-03 10:00:00,-6.2948,0.0164,"HARV","nee",0.940532444657006
"15",2022-01-03 10:30:00,-6.6471,0.0116,"HARV","nee",1.06534898893876
"16",2022-01-03 11:00:00,-7.0117,0.0069,"HARV","nee",0.435293327530178
"17",2022-01-03 11:30:00,-7.2562,0.0047,"HARV","nee",0.801895405524194
"18",2022-01-03 12:30:00,-7.6542,0.0012,"HARV","nee",1.10370722606683
"19",2022-01-03 13:30:00,-7.6454,0.0078,"HARV","nee",0.838461148122071
"20",2022-01-03 14:00:00,-7.4197,0.0064,"HARV","nee",0.710050756098584
"21",2022-01-03 14:30:00,-7.4412,0.0173,"HARV","nee",0.851499035957048
"22",2022-01-03 15:00:00,-7.6712,0.0043,"HARV","nee",0.408901993651162
"23",2022-01-03 16:00:00,-7.4932,0.0054,"HARV","nee",-3.17013404605377
"24",2022-01-03 16:30:00,-7.3623,0.0043,"HARV","nee",4.81173987976144
"25",2022-01-03 17:30:00,-7.4876,0.0074,"HARV","nee",2.13964885813609
"26",2022-01-03 18:00:00,-7.3383,0.0044,"HARV","nee",2.44168695086991
"27",2022-01-03 18:30:00,-7.1813,0.0144,"HARV","nee",5.42389901886981
"28",2022-01-03 19:30:00,-7.1062,0.0216,"HARV","nee",-1.02591454469887
"29",2022-01-03 20:30:00,-7.6486,0.0066,"HARV","nee",0.812634846395154
"30",2022-01-03 21:00:00,-7.8806,0.0098,"HARV","nee",0.487898218541278
"31",2022-01-03 22:00:00,-8.62,0.0034,"HARV","nee",1.40940496333295
"32",2022-01-03 22:30:00,-8.858,0.0064,"HARV","nee",0.761893868121235
